nombre_app,fecha,dia,minutos,notificaciones
instagram,7/11/2023,martes,59,3
instagram,8/11/2023,miercoles,38,9
instagram,9/11/2023,jueves,28,6
instagram,10/11/2023,viernes,28,6
instagram,11/11/2023,sabado,26,8
instagram,12/11/2023,domingo,25,2
instagram,13/11/2023,lunes,35,8
instagram,14/11/2023,martes,57,8
instagram,15/11/2023,miercoles,32,3
instagram,16/11/2023,jueves,19,5
instagram,17/11/2023,viernes,31,2
instagram,18/11/2023,sabado,38,1
instagram,19/11/2023,domingo,33,24
instagram,20/11/2023,lunes,55,9
instagram,21/11/2023,martes,45,10
whatsapp,7/11/2023,martes,55,138
whatsapp,8/11/2023,miercoles,68,94
whatsapp,9/11/2023,jueves,64,155
whatsapp,10/11/2023,viernes,43,70
whatsapp,11/11/2023,sabado,24,70
whatsapp,12/11/2023,domingo,42,86
whatsapp,13/11/2023,lunes,24,64
whatsapp,14/11/2023,martes,65,88
whatsapp,15/11/2023,miercoles,69,97
whatsapp,16/11/2023,jueves,27,115
whatsapp,17/11/2023,viernes,70,284
whatsapp,18/11/2023,sabado,75,213
whatsapp,19/11/2023,domingo,73,142
whatsapp,20/11/2023,lunes,18,72
whatsapp,21/11/2023,martes,31,159
chrome,7/11/2023,martes,38,2
chrome,8/11/2023,miercoles,29,4
chrome,9/11/2023,jueves,6,2
chrome,10/11/2023,viernes,1,0
chrome,11/11/2023,sabado,18,1
chrome,12/11/2023,domingo,32,0
chrome,13/11/2023,lunes,34,1
chrome,14/11/2023,martes,25,1
chrome,15/11/2023,miercoles,26,0
chrome,16/11/2023,jueves,17,0
chrome,17/11/2023,viernes,33,1
chrome,18/11/2023,sabado,6,1
chrome,19/11/2023,domingo,85,1
chrome,20/11/2023,lunes,60,1
chrome,21/11/2023,martes,38,0
hsbc,7/11/2023,martes,5,0
hsbc,8/11/2023,miercoles,8,0
hsbc,9/11/2023,jueves,1,0
hsbc,10/11/2023,viernes,0,0
hsbc,11/11/2023,sabado,5,0
hsbc,12/11/2023,domingo,15,0
hsbc,13/11/2023,lunes,5,0
hsbc,14/11/2023,martes,5,0
hsbc,15/11/2023,miercoles,0,0
hsbc,16/11/2023,jueves,1,0
hsbc,17/11/2023,viernes,1,0
hsbc,18/11/2023,sabado,1,0
hsbc,19/11/2023,domingo,4,0
hsbc,20/11/2023,lunes,15,0
hsbc,21/11/2023,martes,5,0
mercadopago,7/11/2023,martes,15,1
mercadopago,8/11/2023,miercoles,4,4
mercadopago,9/11/2023,jueves,1,3
mercadopago,10/11/2023,viernes,1,1
mercadopago,11/11/2023,sabado,1,2
mercadopago,12/11/2023,domingo,1,0
mercadopago,13/11/2023,lunes,1,2
mercadopago,14/11/2023,martes,28,1
mercadopago,15/11/2023,miercoles,2,4
mercadopago,16/11/2023,jueves,3,2
mercadopago,17/11/2023,viernes,2,1
mercadopago,18/11/2023,sabado,1,1
mercadopago,19/11/2023,domingo,3,1
mercadopago,20/11/2023,lunes,1,2
mercadopago,21/11/2023,martes,5,2
uber,7/11/2023,martes,7,17
uber,8/11/2023,miercoles,0,0
uber,9/11/2023,jueves,0,0
uber,10/11/2023,viernes,0,0
uber,11/11/2023,sabado,8,1
uber,12/11/2023,domingo,5,0
uber,13/11/2023,lunes,0,0
uber,14/11/2023,martes,0,0
uber,15/11/2023,miercoles,0,0
uber,16/11/2023,jueves,0,0
uber,17/11/2023,viernes,8,1
uber,18/11/2023,sabado,12,22
uber,19/11/2023,domingo,2,3
uber,20/11/2023,lunes,31,43
uber,21/11/2023,martes,0,0
facebook,7/11/2023,martes,5,12
facebook,8/11/2023,miercoles,4,17
facebook,9/11/2023,jueves,1,13
facebook,10/11/2023,viernes,0,11
facebook,11/11/2023,sabado,4,14
facebook,12/11/2023,domingo,24,19
facebook,13/11/2023,lunes,1,10
facebook,14/11/2023,martes,19,5
facebook,15/11/2023,miercoles,24,11
facebook,16/11/2023,jueves,2,8
facebook,17/11/2023,viernes,4,15
facebook,18/11/2023,sabado,2,10
facebook,19/11/2023,domingo,1,10
facebook,20/11/2023,lunes,9,15
facebook,21/11/2023,martes,0,16
tiktok,7/11/2023,martes,65,0
tiktok,8/11/2023,miercoles,63,0
tiktok,9/11/2023,jueves,55,0
tiktok,10/11/2023,viernes,60,0
tiktok,11/11/2023,sabado,42,0
tiktok,12/11/2023,domingo,70,0
tiktok,13/11/2023,lunes,30,0
tiktok,14/11/2023,martes,50,0
tiktok,15/11/2023,miercoles,15,0
tiktok,16/11/2023,jueves,10,0
tiktok,17/11/2023,viernes,42,0
tiktok,18/11/2023,sabado,27,0
tiktok,19/11/2023,domingo,38,0
tiktok,20/11/2023,lunes,82,0
tiktok,21/11/2023,martes,29,0
linkedin,7/11/2023,martes,12,11
linkedin,8/11/2023,miercoles,1,6
linkedin,9/11/2023,jueves,1,7
linkedin,10/11/2023,viernes,5,9
linkedin,11/11/2023,sabado,4,10
linkedin,12/11/2023,domingo,7,5
linkedin,13/11/2023,lunes,7,7
linkedin,14/11/2023,martes,5,10
linkedin,15/11/2023,miercoles,3,9
linkedin,16/11/2023,jueves,2,10
linkedin,17/11/2023,viernes,1,8
linkedin,18/11/2023,sabado,1,6
linkedin,19/11/2023,domingo,0,9
linkedin,20/11/2023,lunes,5,5
linkedin,21/11/2023,martes,4,8
outlook,7/11/2023,martes,1,4
outlook,8/11/2023,miercoles,3,10
outlook,9/11/2023,jueves,1,10
outlook,10/11/2023,viernes,1,8
outlook,11/11/2023,sabado,1,1
outlook,12/11/2023,domingo,1,2
outlook,13/11/2023,lunes,6,19
outlook,14/11/2023,martes,2,4
outlook,15/11/2023,miercoles,10,9
outlook,16/11/2023,jueves,9,12
outlook,17/11/2023,viernes,5,6
outlook,18/11/2023,sabado,0,1
outlook,19/11/2023,domingo,0,0
outlook,20/11/2023,lunes,5,5
outlook,21/11/2023,martes,4,4
teams,7/11/2023,martes,8,10
teams,8/11/2023,miercoles,4,20
teams,9/11/2023,jueves,7,39
teams,10/11/2023,viernes,10,23
teams,11/11/2023,sabado,0,0
teams,12/11/2023,domingo,1,0
teams,13/11/2023,lunes,3,20
teams,14/11/2023,martes,3,13
teams,15/11/2023,miercoles,8,5
teams,16/11/2023,jueves,15,4
teams,17/11/2023,viernes,2,1
teams,18/11/2023,sabado,1,0
teams,19/11/2023,domingo,0,0
teams,20/11/2023,lunes,3,0
teams,21/11/2023,martes,7,1
youtube,7/11/2023,martes,12,4
youtube,8/11/2023,miercoles,10,2
youtube,9/11/2023,jueves,2,1
youtube,10/11/2023,viernes,39,2
youtube,11/11/2023,sabado,38,3
youtube,12/11/2023,domingo,69,5
youtube,13/11/2023,lunes,19,1
youtube,14/11/2023,martes,24,2
youtube,15/11/2023,miercoles,6,14
youtube,16/11/2023,jueves,18,5
youtube,17/11/2023,viernes,27,3
youtube,18/11/2023,sabado,24,2
youtube,19/11/2023,domingo,39,7
youtube,20/11/2023,lunes,29,4
youtube,21/11/2023,martes,20,16
